R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
101,,Robert Covington,"SF,PF",PHI,63,26.2,0.427 (3.0/6.9),0.824 (0.8/1.0),1.7,8.5,5.3,1.4,1.4,1.1,1,0.94
102,53.8,Zion Williamson,"PF,C",NO,52,33.1,0.565 (9.0/16.0),0.665 (4.9/7.4),0.2,23.2,6.8,4.5,1,0.5,3.4,0.92
103,83,Buddy Hield,"SG,SF",IND,76,28,0.447 (5.4/12.1),0.848 (1.2/1.5),3.1,15.2,4.3,2.6,0.9,0.3,1.7,0.86
104,103.8,Jusuf Nurkic,C,PHO,54,26.5,0.541 (4.5/8.4),0.691 (2.2/3.2),0.5,11.7,8.1,3.3,0.9,1,1.6,0.8
105,104.5,Keegan Murray,"SF,PF",SAC,78,31,0.465 (5.1/11.0),0.780 (1.1/1.4),2.7,14,4.9,1.3,0.9,0.6,0.9,0.77
106,57.6,Paolo Banchero,"SF,PF",ORL,72,34,0.443 (7.3/16.5),0.752 (5.6/7.5),1.3,21.5,7.5,4,1,0.7,2.8,0.74
107,,Moritz Wagner,C,ORL,60,27.5,0.498 (5.0/10.1),0.823 (3.3/4.0),1.5,14.8,6.6,2.2,0.7,0.3,1.6,0.73
108,137.8,Immanuel Quickley,"PG,SG",NY,76,28.6,0.448 (5.2/11.6),0.847 (2.7/3.1),2.1,15.2,4.1,3.9,1,0.1,1.4,0.7
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
109,120.2,Ivica Zubac,C,LAC,76,27.5,0.630 (4.4/7.0),0.713 (2.3/3.2),0,11.1,9.7,1.4,0.5,1.2,1.6,0.69
110,113.5,Bobby Portis,"PF,C",MIL,71,27.2,0.487 (5.8/12.0),0.759 (1.3/1.7),1.6,14.6,9.5,1.4,0.6,0.5,1.2,0.63
